mlbamID,playerName,team,league,defaultPos,W,L,S,IP,H,R,ER,HR,BB,K,HBP,G_SP,G_RP
282332,CC Sabathia,NYA,AL,SP,18,8,0,230,206,89,83,17,56,203,8,34,0
282562,Adam Pettyjohn,NYN,NL,SP,4,7,0,103,116,69,61,18,34,55,1,0,0
282567,Claudio Vargas,MIL,NL,RP,3,2,0,46,43,22,21,7,14,34,1,0,36
282656,Ben Sheets,OAK,AL,SP,9,8,0,151,143,65,60,15,34,113,2,0,0
283166,Mike Gonzalez,BAL,AL,RP,3,3,23,56,48,26,22,6,23,61,4,0,80
284566,Adam Eaton,,,SP,3,5,0,72,90,52,46,10,28,45,2,8,4
285075,Jason Standridge,PHI,NL,RP,1,1,0,20,20,12,11,1,15,14,0,0,0
285079,R.a. Dickey,NYN,NL,RP,3,4,0,67,71,38,35,8,27,38,1,1,34
292294,Luis Figueroa,LAA,AL,SS,1,0,0,9,10,5,5,1,3,7,0,0,0
324432,Augie Ojeda,ARI,NL,2B,2,1,0,27,27,14,14,3,10,21,1,68,-68
329092,Randy Choate,TBA,AL,RP,2,2,0,32,30,15,14,3,13,22,0,0,61
334492,Joel Pineiro,LAA,AL,SP,9,9,0,158,180,85,77,15,28,78,5,32,0
340393,Ross Gload,PHI,NL,1B,1,0,0,10,9,5,5,1,5,7,0,38,-37
346793,Jeremy Affeldt,SFN,NL,RP,5,3,0,69,59,28,26,5,31,60,3,0,74
346797,Grant Balfour,TBA,AL,RP,3,3,0,50,40,21,21,4,25,57,1,0,73
346798,Kyle Lohse,SLN,NL,SP,6,5,0,100,104,53,48,12,31,65,3,22,1
346799,Juan Rincon,COL,NL,RP,2,2,0,38,38,24,22,4,20,35,1,0,33
346800,Saul Rivera,CLE,AL,RP,3,3,0,55,62,31,28,4,26,33,2,0,30
346847,Joe Beimel,COL,NL,RP,2,2,0,38,41,18,16,2,14,23,1,0,71
346848,John Grabow,CHN,NL,RP,4,4,0,71,64,35,33,7,36,57,2,0,75
346855,Brandon Duckworth,PHI,NL,SP,4,5,0,79,91,55,49,11,35,44,1,0,0
346862,Blaine Neal,CLE,AL,RP,1,2,0,29,35,22,19,5,14,18,0,0,0
346869,Josh Towers,LAN,NL,SP,3,5,0,71,82,47,42,13,20,39,1,0,2
346871,Aaron Cook,COL,NL,SP,8,7,0,139,173,77,68,12,41,66,3,27,0
