mlbamID,playerName,team,league,defaultPos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF
150439,Gary Matthews,LAA,AL,,34,134,492,72,125,25,3,13,55,9,3,51,98,3,0,0,0,0,0,37,31,43,106
150449,Rick Ankiel,SLN,NL,,29,123,446,66,113,20,2,25,85,3,1,39,111,4,0,0,0,0,0,17,89,1,106
150456,Adam Kennedy,TBA,AL,,33,122,381,42,97,19,2,3,36,9,3,30,57,3,0,3,84,0,0,1,0,9,10
150472,Ryan Freel,BAL,AL,,33,114,393,58,100,20,2,4,22,20,8,38,70,5,0,0,3,4,0,13,23,5,34
150479,Felipe Lopez,ARI,NL,,29,149,552,81,151,31,3,11,56,19,8,61,99,3,0,1,101,13,13,16,0,1,17
150482,Josh Phelps,SFN,NL,,31,122,382,54,103,21,2,17,63,2,1,39,103,5,0,4,0,0,0,3,0,2,5
150484,Vernon Wells,TOR,AL,,30,141,555,78,152,31,3,23,88,8,3,47,77,3,0,0,0,0,0,0,100,0,100
204020,Lance Berkman,HOU,NL,,33,145,515,89,149,29,2,30,98,8,3,93,104,5,0,152,0,0,0,0,0,0,0
206551,Melvin Mora,BAL,AL,,37,134,517,73,135,23,1,18,74,5,3,45,86,7,0,0,0,124,1,0,0,0,0
209315,David Newhan,,,,35,110,273,40,69,13,2,8,36,6,2,24,58,2,0,0,28,0,0,2,0,0,2
217100,Willie Bloomquist,KCA,AL,,31,102,239,37,63,11,1,1,18,11,3,23,38,2,0,0,7,1,12,8,23,13,43
232694,Casey Blake,LAN,NL,,35,136,490,69,127,26,1,20,66,3,2,50,111,7,0,29,1,133,1,0,0,0,0
236155,Robinson Cancel,NYN,NL,,33,94,279,28,67,14,1,6,30,4,2,21,53,2,15,0,0,0,0,0,0,0,0
275930,David Eckstein,SDN,NL,,34,122,461,58,124,22,1,4,32,5,2,38,40,9,0,0,24,0,57,0,0,0,0
276055,Adam Dunn,WAS,NL,,29,152,512,89,122,24,1,33,88,5,1,114,158,5,0,19,0,0,0,119,0,23,141
276346,Brandon Inge,DET,AL,,32,141,477,61,111,22,3,16,63,6,2,49,124,6,60,0,0,51,0,2,13,0,13
276354,Matt Treanor,DET,AL,,33,70,202,17,47,9,1,3,22,1,0,19,42,3,65,0,0,0,0,0,0,0,0
276361,Adam Everett,DET,AL,,32,130,432,45,103,21,2,5,43,7,3,28,66,3,0,0,1,0,44,0,0,0,0
276372,Luis Rivas,,,,29,109,344,44,84,16,2,6,38,6,3,25,53,2,0,0,29,1,31,0,0,0,0
276376,Nick Johnson,WAS,NL,,30,126,415,72,114,28,1,18,65,6,2,97,81,7,0,35,0,0,0,0,0,0,0
276377,Wily Mo Pena,WAS,NL,,27,110,326,41,84,15,1,14,44,2,1,26,94,3,0,0,0,0,0,54,0,0,54
276519,Jimmy Rollins,PHI,NL,,30,148,633,110,178,38,8,18,67,35,5,55,71,4,0,0,0,0,132,0,0,0,0
276545,Michael Young,TEX,AL,,32,150,624,89,184,37,2,13,82,7,2,52,99,2,0,0,0,0,152,0,0,0,0
276547,Dewayne Wise,CHA,AL,,31,111,343,49,84,16,4,11,37,12,4,23,82,3,0,0,0,0,0,24,23,6,46
279566,Nathan Haynes,TEX,AL,,29,97,306,38,72,12,3,3,28,12,6,21,81,2,0,0,0,0,0,2,2,15,18
279577,Rafael Furcal,LAN,NL,,31,138,560,94,159,29,5,11,51,24,7,63,75,2,0,0,0,0,36,0,0,0,0
279827,Humberto Quintero,HOU,NL,,29,94,290,29,71,15,1,5,31,2,1,14,53,3,59,0,0,0,0,0,0,0,0
279913,Corey Patterson,WAS,NL,,29,139,450,61,112,22,2,11,42,25,8,25,80,2,0,0,0,0,0,0,124,0,124
280061,Corky Miller,CHA,NL,,33,77,218,25,49,9,0,9,31,1,1,26,45,4,29,0,0,0,0,0,0,0,0
282597,Adam Melhuse,TEX,AL,,37,49,126,13,26,5,0,3,14,0,0,12,38,1,10,0,0,2,0,0,0,0,0
282905,Andy Tracy,PHI,NL,,35,122,426,67,106,23,1,21,75,3,2,63,111,3,0,0,0,0,0,0,0,0,0
283051,Johnny Estrada,,,,33,112,388,34,101,20,0,8,49,0,0,15,41,3,14,0,0,0,0,0,0,0,0
285068,Cody Ransom,NYA,AL,,33,131,426,57,93,20,1,17,57,6,3,43,136,3,0,19,2,4,9,0,0,0,0
285078,Josh Hamilton,TEX,AL,,28,122,462,73,134,25,3,24,84,6,2,48,96,5,0,0,0,0,0,0,111,34,141
285131,Cesar Izturis,BAL,AL,,29,118,386,42,99,17,2,2,26,10,4,26,30,3,0,0,0,8,130,0,0,0,0
291565,Eric Byrnes,ARI,NL,,33,130,495,72,128,27,3,17,60,20,5,41,83,5,0,0,0,0,0,51,1,0,51
294558,Xavier Nady,NYA,AL,,30,132,461,57,126,25,1,19,69,3,1,30,95,7,0,3,0,0,0,46,0,89,134
324432,Augie Ojeda,ARI,NL,,34,109,274,35,67,13,1,2,27,1,0,32,34,5,0,0,44,28,22,0,0,0,0
325392,Scott Podsednik,COL,NL,,33,120,377,60,103,21,3,2,27,24,10,38,61,3,0,0,0,0,0,10,36,1,45
333292,Jack Wilson,PIT,NL,,31,134,484,56,132,27,2,7,41,4,2,32,51,5,0,0,0,0,80,0,0,0,0
333492,Aubrey Huff,BAL,AL,,32,144,536,71,149,31,2,22,82,3,1,50,81,3,0,24,0,33,0,0,0,0,0
334393,Juan Pierre,LAN,NL,,31,143,555,75,157,23,6,2,36,40,12,33,36,4,0,0,0,0,0,84,18,0,93
340192,Marco Scutaro,TOR,AL,,33,120,401,56,103,20,2,7,44,4,1,45,59,2,0,3,50,41,56,3,0,0,3
340393,Ross Gload,KCA,AL,,33,112,330,40,92,19,2,6,41,3,2,20,40,2,0,111,0,0,0,8,0,3,11
346795,Endy Chavez,SEA,AL,,31,124,263,34,71,13,2,2,22,6,2,18,31,1,0,0,0,0,0,54,10,60,120
346857,Nick Punto,MIN,AL,,31,127,423,54,105,21,3,2,31,13,5,45,76,1,0,0,26,12,61,0,3,0,3
346859,Jason Michaels,HOU,NL,,33,114,324,48,82,16,1,8,42,4,2,33,66,2,0,0,0,0,0,34,8,43,81
346874,Juan Uribe,SFN,NL,,29,135,442,51,110,24,2,14,62,3,3,29,81,2,0,0,51,57,4,0,0,0,0
348563,Morgan Ensberg,TBA,AL,,33,124,370,52,83,16,1,15,50,2,2,63,96,2,0,7,0,21,0,0,0,0,0
400018,Miguel Olivo,KCA,AL,,30,119,416,44,101,22,2,14,56,5,2,13,103,3,58,0,0,0,0,0,0,0,0
400023,Aaron Rowand,SFN,NL,,31,141,523,70,143,33,1,14,64,6,3,39,106,12,0,0,0,0,0,0,149,0,149
400073,Oscar Salazar,BAL,AL,1B,31,126,469,65,131,29,2,16,78,4,2,33,73,1,0,10,0,7,1,0,0,0,0
400083,Andres Torres,SFN,NL,OF,31,117,410,63,103,21,7,7,37,15,5,44,112,3,,,,,,,,,
400085,Ichiro Suzuki,SEA,AL,,35,147,623,94,188,23,6,7,49,26,5,46,67,3,0,0,0,0,0,0,69,91,160
400090,Alex Cintron,WAS,NL,,30,114,314,37,86,15,2,6,41,4,2,16,43,2,0,2,7,8,45,0,0,0,0
400091,Jack Cust,OAK,AL,,30,143,472,79,109,20,1,26,74,1,1,115,178,2,0,0,0,0,0,78,0,5,83
400098,Travis Hafner,CLE,AL,,32,130,461,76,122,25,1,25,87,1,0,85,111,6,0,0,0,0,0,0,0,0,0
400120,Chris Coste,PHI,NL,,36,112,360,39,89,17,0,11,52,1,1,22,66,6,78,1,0,0,0,0,0,0,0
400121,Victor Martinez,CLE,AL,,30,140,520,67,149,32,1,16,82,0,0,61,72,4,55,10,0,0,0,0,0,0,0
400134,Eric Hinske,PIT,NL,,31,125,342,55,87,19,2,14,47,6,2,45,82,3,0,11,0,8,0,40,0,49,89
