playerName,mlbamID,Tm,Lg,Pos
Andy Van Hekken,407843,HOU,NL,SP
Noel Arguelles,580016,KCA,AL,SP
Angel Baez,554414,KCA,AL,SP
Greg Billo,542937,KCA,AL,SP
Eric Cantrell,594779,KCA,AL,SP
Bruce Chen,136600,KCA,AL,SP
Eric Diaz,572814,KCA,AL,SP
Danny Duffy,518633,KCA,AL,SP
Christopher Dwyer,543125,KCA,AL,SP
Omar Gomez,542663,KCA,AL,SP
Keaton Hayenga,518778,KCA,AL,SP
Luke Hochevar,460024,KCA,AL,SP
Ivor Hodgson,518806,KCA,AL,SP
John Lamb,543424,KCA,AL,SP
Sugar Ray Marimon,516970,KCA,AL,SP
Justin Marks,476123,KCA,AL,SP
Brennon Martin,596856,KCA,AL,SP
Vin Mazzaro,476570,KCA,AL,SP
Timothy Melville,543532,KCA,AL,SP
Luis Mendoza,434669,KCA,AL,SP
Mike Montgomery,543557,KCA,AL,SP
Jake Odorizzi,543606,KCA,AL,SP
Sean O'Sullivan,457711,KCA,AL,SP
Edgar Osuna,466457,KCA,AL,SP
Felipe Paulino,462956,KCA,AL,SP
Brian Peacock,573082,KCA,AL,SP
Leondy Perez,516674,KCA,AL,SP
Elisaul Pimentel,516915,KCA,AL,SP
Kevin Pucetas,501879,KCA,AL,SP
Sergio Rosario,570645,KCA,AL,SP
Tyler Sample,543741,KCA,AL,SP
Jonathan Sanchez,456043,KCA,AL,SP
Leonel Santiago,521835,KCA,AL,SP
Mario Santiago,489289,KCA,AL,SP
Crawford Simmons,572137,KCA,AL,SP
Will Smith,519293,KCA,AL,SP
Jeff Suppan,122987,SDN,NL,SP
Yordano Ventura,570649,KCA,AL,SP
Robinson Yambati,542668,KCA,AL,SP
Orangel Arenas,516418,LAA,AL,SP
Lay Batista,522588,LAA,AL,SP
Bear Bay,445948,LAA,AL,SP
Alexander Burkard,502701,LAA,AL,SP
Ryan Chaffee,518543,LAA,AL,SP
Jairo Diaz,545064,LAA,AL,SP
Brian Diemer,592265,LAA,AL,SP
Cody Evans,446267,LAA,AL,SP
Manuel Flores,501192,LAA,AL,SP
Dan Haren,429717,LAA,AL,SP
Pil Joon Jang,547755,LAA,AL,SP
Eric Junge,407784,LAA,AL,SP
Justin LaTempa,543419,LAA,AL,SP
Fabio Martinez Mesa,516421,LAA,AL,SP
Joe Melioris,597651,LAA,AL,SP
Brad Mills,502166,LAA,AL,SP
Heath Nichols,573058,LAA,AL,SP
Matt Palmer,461212,LAA,AL,SP
Ariel Pena,516414,LAA,AL,SP
Trevor Reckling,519174,LAA,AL,SP
Garrett Richards,572070,LAA,AL,SP
Max Russell,534582,LAA,AL,SP
Ervin Santana,429722,LAA,AL,SP
A. J. Schugel,519263,LAA,AL,SP
Matt Shoemaker,533167,LAA,AL,SP
Jered Weaver,450308,LAA,AL,SP
Jerome Williams,425532,LAA,AL,SP
C.J. Wilson,450351,LAA,AL,SP
Michael Antonini,502103,LAN,NL,SP
