mlbamID,playerName,team,league,defaultPos,Age,W,L,S,G,GS,IP,H,R,ER,HR,BB,K,WP,HBP,G_SP,G_RP
446452,Troy Cate,TOR,AL,RP,29,1,2,,18,3,33,39,24,22,6,14,19,2,0,,
446453,Levale Speigner,SEA,AL,RP,29,1,2,,20,2,27,35,22,20,3,16,15,1,2,,
446454,Brian Bannister,KCA,AL,SP,28,5,7,,17,17,99,115,59,54,12,31,59,6,3,26,0
446486,Harold Eckert,,,,32,2,5,,33,6,62,73,47,43,12,34,39,4,1,,
446488,Scott Rice,SDN,NL,RP,28,2,4,,32,0,36,36,22,21,3,31,21,4,0,,
446552,John Mariotti,BAL,AL,SP,25,3,7,,18,11,71,97,60,54,9,43,28,10,0,,
446574,Tyler Johnson,,,,24,1,1,,21,0,18,19,12,12,4,8,12,1,1,,
446575,Chris Kelly,CIN,NL,RP,27,2,5,,33,0,46,56,39,36,7,38,19,7,0,,
446603,Aaron Breit,,,,23,3,7,,36,11,82,83,50,45,10,57,58,3,0,,
446621,Rex Rundgren,COL,NL,2B,29,0,1,,9,0,11,12,7,6,1,6,7,0,0,,
446624,Charlie Haeger,LAN,NL,SP,26,5,6,,15,13,83,81,47,45,10,42,53,6,1,3,3
446855,Travis Minix,,,,32,4,5,,35,5,60,69,40,37,8,25,35,3,1,,
446857,Kelvin Villa,,,,24,4,7,,29,5,68,92,54,46,9,35,35,4,0,,
446859,Camilo Vazquez,LAA,AL,SP,26,3,8,,36,15,95,110,77,69,18,60,64,9,0,,
446861,Guillermo Moscoso,TEX,AL,SP,26,4,4,,16,10,68,76,41,35,7,24,47,4,1,0,10
446884,T.J. Beam,ARI,NL,RP,29,3,4,,36,5,72,82,47,41,9,25,44,1,1,,
446899,Brad Ziegler,OAK,AL,RP,30,3,3,1,51,1,64,66,28,25,3,23,39,0,1,0,69
446901,James Houser,FLO,NL,SP,25,3,7,,19,18,87,104,71,66,16,56,45,4,0,,
446911,Virgil Vasquez,,,SP,27,2,5,,13,7,50,63,34,28,7,19,34,1,3,7,7
446916,Mike Burns,MIL,NL,RP,31,5,6,,21,11,84,89,49,44,13,22,53,2,1,8,7
446952,Luis Munoz,SEA,AL,SP,28,5,12,,27,25,131,159,102,94,25,70,68,6,0,,
447714,Eric O'flaherty,ATL,NL,RP,24,2,1,,42,0,36,34,17,16,2,14,25,2,3,0,78
447764,Robert Hinton,MIL,NL,RP,25,2,5,,46,1,65,66,44,41,10,45,50,9,0,,
447769,Luis Cota,,,,24,1,4,,8,8,39,53,35,31,8,21,22,5,0,,
447778,Tim Lavigne,,,,31,2,5,,45,2,53,63,44,41,12,33,32,5,0,,
447797,Ben Julianel,MIN,AL,RP,30,2,3,,40,1,48,55,33,30,6,27,39,3,0,,
447804,Chris Cooper,,,,31,0,1,,10,1,14,17,10,10,3,4,9,1,0,,
447808,Philip Barzilla,SDN,NL,RP,31,2,3,,21,3,42,42,24,21,5,25,28,3,0,,
447821,Stephen Marek,ATL,NL,RP,26,3,7,,42,5,62,69,46,42,9,49,41,7,0,,
