mlbamID,playerName,team,league,IP,W,L,S,H,R,ER,HR,K,BB,IBB,HBP,WP,BK,G_SP,G_RP
446453,Levale Speigner,FLO,NL,8,0,1,0,13,0,10,1,1,6,0,0,0,0,0,7
446454,Brian Bannister,KCA,AL,182.67,9,16,0,215,0,117,29,113,58,0,0,0,0,32,0
446624,Charlie Haeger,LAN,NL,4.33,0,0,0,8,10,8,2,4,5,0,1,3,0,0,4
446884,T.J. Beam,TOR,AL,45.67,2,2,1,43,20,21,6,24,20,0,0,1,0,0,32
446899,Brad Ziegler,OAK,AL,59.67,3,0,11,47,5,7,2,30,22,1,1,0,0,0,47
447714,Eric O'Flaherty,ATL,NL,6.67,0,1,0,16,11,15,2,4,4,1,1,1,0,0,7
448147,Nick Blackburn,MIN,AL,193.33,11,11,0,224,37,87,23,96,39,2,4,6,0,33,0
448159,Manny Parra,MIL,NL,166,10,8,0,181,34,81,18,147,75,4,4,2,1,29,3
448165,Matt Capps,PIT,NL,53.67,2,3,21,47,24,18,5,39,5,0,0,2,0,0,49
448178,Kevin Jepsen,LAA,AL,8.33,0,1,0,8,24,4,0,7,4,2,0,3,0,0,9
448179,Rich Hill,BAL,AL,19.67,1,0,0,13,9,9,2,15,18,1,4,1,0,5,0
448200,Chris Sampson,HOU,NL,117.33,6,4,0,118,15,55,8,61,23,3,1,2,0,11,43
448306,James Shields,TBA,AL,215,14,8,0,208,4,85,24,160,40,0,0,0,0,33,0
448337,Josh Kinney,SLN,NL,7,0,0,0,3,82,0,0,8,1,5,14,10,1,0,7
448592,Cla Meredith,SDN,NL,70.33,0,3,0,79,56,32,6,49,24,2,2,2,0,0,73
448656,Chad Reineke,SDN,NL,18,2,1,0,14,7,10,1,13,12,1,0,0,0,3,1
448694,Randy Wells,CHN,NL,5.33,0,0,0,0,34,0,0,1,3,4,0,2,1,0,4
448802,Jaime Garcia,SLN,NL,16,1,1,0,14,44,10,4,8,8,0,4,2,0,1,9
448842,Eulogio De La Cruz,FLO,NL,9,0,0,0,15,81,18,2,4,11,0,3,2,1,1,5
448857,Jose Ascanio,CHN,NL,5.67,0,0,0,8,88,5,1,3,4,4,6,3,0,0,6
449060,Clay Rapada,DET,AL,21.33,3,0,0,19,5,10,0,15,14,1,0,0,0,0,25
449072,Kyle McClellan,SLN,NL,75.67,2,7,1,79,1,34,7,59,26,0,1,1,0,0,68
449079,Wesley Wright,HOU,NL,55.67,4,3,1,45,9,31,8,57,34,1,0,0,0,0,71
449097,Jonathan Papelbon,BOS,AL,69.33,5,4,41,58,35,18,4,77,8,2,2,3,0,0,67
449157,Mike Parisi,SLN,NL,23,0,4,0,37,16,21,2,13,15,4,3,5,0,2,10
449777,Mitch Stetter,MIL,NL,25.33,3,1,0,14,20,9,2,31,19,2,0,1,0,0,30
449820,Leo Rosales,ARI,NL,30,1,1,0,32,32,14,2,18,15,4,3,2,0,0,27
449881,R.J. Swindle,MIL,NL,4.67,0,0,0,9,1,4,2,4,2,0,0,0,0,0,3
450172,Edinson Volquez,CIN,NL,196,17,6,0,167,36,70,14,206,93,4,1,4,0,32,1
450203,Charlie Morton,ATL,NL,74.67,4,8,0,80,4,51,9,48,41,0,0,0,0,15,1
450212,Pat Neshek,MIN,AL,13.33,0,1,0,12,83,7,2,15,4,2,6,6,0,0,15
450275,Mark Lowe,SEA,AL,63.67,1,5,1,78,13,38,6,55,34,4,0,6,0,0,57
450282,Glen Perkins,MIN,AL,151,12,4,0,183,6,74,25,74,39,0,1,0,0,26,0
450308,Jered Weaver,LAA,AL,176.67,11,10,0,173,76,85,20,152,54,6,8,10,0,30,0
450312,Mark Worrell,SDN,NL,5.67,0,1,0,8,31,5,1,4,4,1,4,2,0,0,4
450320,Carmen Pignatiello,CHN,NL,0.67,0,0,0,2,42,1,0,0,2,1,2,0,0,0,2
450321,Bill White,CHN,NL,4,0,0,0,7,5,9,1,1,11,0,0,0,0,0,8
450351,C.J. Wilson,TEX,AL,46.33,2,2,24,49,21,31,8,41,27,5,3,4,1,0,50
450527,Alex Hinshaw,SFN,NL,39.67,2,1,0,31,7,15,5,47,29,0,0,0,0,0,48
450545,Doug Mathis,TEX,AL,22.33,2,1,0,37,60,17,3,9,14,2,8,3,0,4,4
451216,Brian Wilson,SFN,NL,62.33,3,2,41,62,4,32,7,67,28,1,1,0,0,0,63
451256,Kurt Birkins,TBA,AL,10,0,0,0,5,16,1,0,7,5,0,1,3,0,0,6
451257,Kason Gabbard,TEX,AL,56,2,3,0,64,15,30,5,33,39,1,2,3,0,12,0
451262,A.J. Murray,TEX,AL,7.67,1,0,0,12,20,3,0,5,3,3,0,3,1,2,0
451482,Armando Galarraga,DET,AL,178.67,13,7,0,152,73,74,28,126,61,0,12,4,0,28,2
451491,Joel Zumaya,DET,AL,23.33,0,2,1,24,6,9,3,22,22,0,0,0,0,0,21
451497,Brian Slocum,PIT,NL,2,0,0,0,8,9,6,2,1,0,2,0,0,0,0,2
451532,Chad Billingsley,LAN,NL,200.67,16,10,0,188,78,70,14,201,80,1,10,3,1,32,3
451595,Sean Gallagher,OAK,AL,115.33,5,7,0,118,89,66,13,103,58,2,7,4,0,21,2
451596,Yovani Gallardo,MIL,NL,24,0,0,0,22,12,5,3,20,8,0,1,1,0,4,0
451767,Freddy Dolsi,DET,AL,47.67,1,5,2,50,103,21,3,29,28,2,14,4,1,0,42
451774,Matt DeSalvo,ATL,NL,2,0,0,0,11,21,7,0,2,2,4,8,8,0,0,2
451788,Shaun Marcum,TOR,AL,151.33,9,7,0,126,12,57,21,123,50,0,3,0,0,25,0
452075,Connor Robertson,NYN,NL,7,0,1,0,8,79,4,1,2,2,0,1,5,1,0,6
452237,Taylor Tankersley,FLO,NL,17.67,0,1,0,22,37,16,6,13,8,0,1,3,0,0,25
452240,Adam Russell,CHA,AL,26,4,0,0,30,78,15,1,22,10,4,4,4,0,0,22
452241,Garrett Mock,WAS,NL,41,1,3,0,37,18,19,4,46,23,0,1,2,0,3,23
452249,Micah Owings,CIN,NL,104.67,6,9,0,104,19,69,14,87,41,2,0,0,0,18,4
452293,Jonathan Albaladejo,NYA,AL,13.67,0,1,0,15,24,6,1,13,6,1,5,2,0,0,7
452298,Kevin Cameron,OAK,AL,10,0,0,0,10,72,4,0,5,6,1,6,17,2,0,10
