mlbamID,playerName,team,league,defaultPos,age,AB,R,H,2B,3B,HR,BB,HBP,SF,SH,RBI,SO,SB,CS,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF
,Cody Johnson,ATL,NL,OF,19,478,48,108,20,0,20,28,1,3,0,63,201,6,3,,,,,,,,,
,Cody Overbeck,,,,22,322,38,84,17,0,11,14,3,3,0,49,81,2,1,,,,,,,,,
,Cody Podraza,,,,20,98,17,24,3,0,2,6,2,1,0,11,17,1,1,,,,,,,,,
,Cody Puckett,,,,21,75,9,17,3,0,1,5,1,0,1,7,13,1,0,,,,,,,,,
,Cody Strait,,,,25,449,51,101,29,1,13,22,5,2,2,48,44,4,2,,,,,,,,,
,Cole Armstrong,CHA,AL,C,24,334,36,79,19,0,8,16,3,2,2,37,33,0,1,,,,,,,,,
,Cole Garner,,,,23,301,31,73,19,1,6,11,6,1,2,26,26,2,2,,,,,,,,,
,Cole Gillespie,,,,24,448,54,109,30,2,12,55,5,3,2,60,59,7,1,,,,,,,,,
,Cole Miles,,,,21,300,29,62,6,1,1,16,1,1,5,10,67,11,4,,,,,,,,,
,Cole White,,,,23,135,11,37,9,0,3,9,1,1,1,15,25,1,0,,,,,,,,,
,Colin Curtis,NYA,AL,OF,23,405,44,93,14,1,8,28,3,3,1,40,41,2,1,,,,,,,,,
,Collin Cowgill,,,,22,313,43,75,16,1,11,28,4,0,1,36,93,6,0,,,,,,,,,
,Collin Delome,HOU,NL,OF,22,473,59,101,19,2,18,27,8,3,1,52,144,10,4,,,,,,,,,
,Colt Sedbrook,,,,23,309,29,78,9,1,3,15,8,0,2,28,52,8,6,,,,,,,,,
,Concepcion Rodriguez,,,,21,433,44,100,22,1,9,31,3,4,1,47,68,5,4,,,,,,,,,
,Corey Brown,OAK,AL,OF,22,385,41,78,18,1,14,34,3,2,1,48,101,7,1,,,,,,,,,
,Corey Coles,,,,26,259,27,69,11,1,1,19,2,1,3,19,10,1,0,,,,,,,,,
,Corey Koskie,,,,36,325,37,82,23,0,12,39,4,1,1,39,73,2,2,,,,,,,,,
,Corey Ragsdale,,,,25,241,26,44,10,1,4,20,3,2,4,21,34,3,1,,,,,,,,,
,Corey Smith,KCA,AL,3B,26,485,48,115,25,1,18,31,6,1,0,58,76,6,4,,,,,,,,,
,Corey Wimberly,,,,24,372,52,111,14,1,2,22,9,2,5,24,22,22,7,,,,,,,,,
,Corteze Armstrong,,,,24,175,10,27,4,0,2,17,2,1,1,13,53,1,0,,,,,,,,,
,Cory Aldridge,,,,29,306,34,68,15,1,7,31,1,2,1,39,23,1,1,,,,,,,,,
,Cory Middleton,,,,22,256,25,45,9,0,5,15,3,1,1,23,33,1,1,,,,,,,,,
,Cory Patton,,,,26,428,49,100,27,1,11,30,2,3,0,52,43,1,0,,,,,,,,,
,Craig Albernaz,,,,25,129,11,24,4,0,2,8,1,1,1,14,16,0,0,,,,,,,,,
,Craig Biggio,,,,43,540,74,132,32,1,15,31,8,5,9,57,102,5,2,,,,,,,,,
,Craig Brazell,,,,29,477,59,122,33,1,20,22,2,1,1,68,10,1,0,,,,,,,,,
,Craig Cooper,,,,23,373,35,88,18,1,6,28,5,3,1,47,46,1,1,,,,,,,,,
,Craig Corrado,,,,23,511,46,124,22,0,3,18,3,1,5,37,101,25,5,,,,,,,,,
,Craig Gentry,,,,24,348,36,81,18,0,3,17,9,3,2,23,38,6,3,,,,,,,,,
,Craig Tatum,CIN,NL,C,25,351,35,81,19,0,8,20,2,3,1,42,38,1,1,,,,,,,,,
,Craig Wilson,,,,31,300,36,72,13,1,13,28,9,1,1,40,93,1,1,,,,,,,,,
,Cristian Santana,,,,19,228,21,49,10,0,6,9,5,1,0,20,88,2,1,,,,,,,,,
,Curt Rindal,,,,24,412,37,90,19,0,8,24,6,3,0,45,85,2,5,,,,,,,,,
,Curt Smith,,,,21,107,12,26,6,0,2,6,2,1,0,16,25,1,0,,,,,,,,,
,Curtis Pride,,,,40,226,28,51,13,1,4,25,2,1,1,26,11,1,0,,,,,,,,,
,Cyle Hankerd,ARI,NL,OF,23,375,38,99,20,0,5,17,9,2,0,39,31,1,3,,,,,,,,,
,D.J. Hollingsworth,,,,23,152,15,32,3,0,2,12,2,1,3,12,29,4,2,,,,,,,,,
,D.J. Wabick,,,,24,439,43,110,25,1,6,22,1,2,1,50,47,2,2,,,,,,,,,
,Dale Mollenhauer,,,,22,487,52,108,26,2,3,23,2,3,8,33,90,16,3,,,,,,,,,
,Damaso Espino,,,,25,195,17,42,6,0,1,15,2,1,2,16,14,0,0,,,,,,,,,
,Damian Jackson,,,,35,222,28,53,11,1,6,23,4,1,3,22,51,6,3,,,,,,,,,
,Damian Miller,,,,39,297,31,76,18,0,5,27,4,4,2,36,74,1,0,,,,,,,,,
,Damon Hollins,,,,35,364,40,75,17,1,12,29,1,1,1,42,78,3,2,,,,,,,,,
,Damon Sublett,NYA,AL,2B,22,213,25,49,10,1,4,23,3,3,2,22,34,2,1,,,,,,,,,
,Damon Wright,,,,22,197,18,48,9,1,2,15,2,0,1,20,35,6,4,,,,,,,,,
,Dan Brewer,,,,21,270,22,63,15,0,4,14,4,1,0,31,106,6,1,,,,,,,,,
,Dan Lyons,,,,23,381,41,77,17,1,3,31,12,3,6,35,65,7,4,,,,,,,,,
,Dan Robertson,,,,22,332,42,91,14,1,3,22,3,2,1,38,47,14,7,,,,,,,,,
,Dan Wentzell,,,,23,89,4,18,4,0,2,6,1,1,0,10,22,0,0,,,,,,,,,
,Dan Wilson,,,,40,199,16,47,9,1,5,15,2,2,1,24,36,1,1,,,,,,,,,
,D'Angelo Jimenez,,,,31,261,32,66,14,1,6,35,1,2,2,29,29,3,1,,,,,,,,,
,Dani Arias,,,,20,175,13,36,5,0,1,10,2,0,1,12,50,2,1,,,,,,,,,
,Daniel Berg,,,,23,304,31,61,11,1,4,21,5,2,2,24,45,1,1,,,,,,,,,
,Daniel Carte,,,,24,418,46,110,22,1,9,16,7,2,2,45,48,2,3,,,,,,,,,
,Daniel Cook,,,,22,126,14,31,5,0,1,11,1,0,1,10,22,2,0,,,,,,,,,
,Daniel Descalso,,,,21,366,40,87,17,2,5,21,6,3,2,38,45,4,5,,,,,,,,,
,Daniel Garcia,,,,20,313,30,63,9,0,4,17,2,1,2,21,87,3,0,,,,,,,,,
