mlbamID,PA,Name
425556,286,Laynce Nix
543213,284,Johnny Giavotella
425785,281,Greg Dobbs
150484,281,Vernon Wells
456488,279,Eduardo Nunez
460579,287,Nyjer Morgan
445933,284,Bryan LaHair
518735,284,Yasmani Grandal
459991,283,Gaby Sanchez
424325,282,David Ross
571804,282,Brett Jackson
407833,281,John Buck
450204,279,Ben Francisco
489413,278,Casper Wells
435401,277,Skip Schumaker
502481,277,Jarrod Dyson
150148,275,Rod Barajas
543629,272,Tyler Pastornicky
465674,261,Pedro Ciriaco
541645,261,Avisail Garcia
121347,281,Alex Rodriguez
458913,277,Eric Young
457788,274,Jordan Schafer
450855,265,Mauro Gomez
421124,272,Ramon Santiago
455077,267,Mike Carp
150421,265,Ramon Hernandez
461882,265,Jesus Guzman
573131,264,Darin Ruf
519346,263,Eric Thames
457759,263,Justin Turner
450260,256,Kevin Kouzmanoff
518170,255,Jordany Valdespin
346857,275,Nick Punto
123272,275,Jim Thome
333492,267,Aubrey Huff
407487,258,Juan Rivera
543829,252,Dee Gordon
520471,250,Freddy Galvis
435219,259,Jack Hannahan
451143,254,Mat Gamel
572761,260,Matt Carpenter
453974,256,Lou Marson
446653,253,Jose Lobaton
489138,242,Tyler Moore
460022,246,Tyler Greene
474233,244,Hank Conger
447736,242,Chris Dickerson
150275,231,Yorvit Torrealba
542999,223,Tony Campana
519128,224,Bryan Petersen
571740,219,Billy Hamilton
460077,219,Drew Butera
518502,216,Gary Brown
489209,214,Brett Pill
435559,214,Kurt Suzuki
474865,212,Julio Borbon
543281,211,Josh Harrison
425900,213,Dioner Navarro
457789,213,Jemile Weeks
456124,211,Erik Kratz
456121,209,Chris Denorfia
117276,209,Mark Kotsay
407489,210,Lyle Overbay
543459,202,Stephen Lombardozzi
453269,201,Brennan Boesch
492841,200,Michael Martinez
435623,198,Kevin Frandsen
430681,211,Dan Johnson
400134,203,Eric Hinske
521428,201,Che-Hsuan Lin
502034,198,Emmanuel Burriss
430591,197,Hector Gimenez
571788,197,Brock Holt
572253,194,Ryan Wheeler
506560,193,Alexi Amarista
519388,192,Josh Vitters
453362,192,Chris Valaika
453539,198,Sam Fuld
430583,197,Jason Bartlett
502374,195,Michael McKenry
446395,195,Corey Brown
136767,194,Eric Chavez
425772,193,Jeff Mathis
491676,192,Gorkys Hernandez
407862,190,Reed Johnson
150348,190,John McDonald
488681,189,Brandon Barnes
276547,188,Dewayne Wise
217100,188,Willie Bloomquist
516949,187,Hector Sanchez
435459,196,George Kottaras
457926,190,Paul Janish
475247,185,Ryan Flaherty
502317,181,Chris Heisey
458668,180,Jordan Danks
285068,179,Cody Ransom
476036,178,David Cooper
453181,178,Matt LaPorta
543216,177,Conor Gillaspie
430605,175,Ryan Raburn
430668,174,Scott Hairston
543743,174,Dave Sappelt
453568,174,Charles Blackmon
458085,175,Chris Coghlan
444453,171,Russ Canzler
543148,169,Tim Federowicz
