mlbamID,playerName,team,league,defaultPos,W,L,BFP,IP,H,HR,BB,K,HBP,R,ER,Age,G_SP,G_RP
,Aaron Hartsock,,,,2,3,194,42,51,7,21,23,1,30,28,25,,
,Aaron Poreda,CHA,AL,SP,4,7,439,96,118,16,42,55,4,68,63,22,,
,Aaron Thompson,FLO,NL,SP,3,6,409,88,106,14,49,49,3,64,59,22,,
,Abe Alvarez,,,,2,2,170,38,41,5,18,24,1,23,21,26,,
,Abe Woody,,,,2,4,240,52,61,7,28,31,3,36,33,26,,
,Adalberto Mendez,,,,3,4,283,62,62,10,38,48,3,39,36,27,,
,Adam Bass,,,,3,3,245,56,53,6,25,46,3,28,26,27,,
,Adam Bernero,,,,3,4,256,59,63,7,19,33,3,32,30,32,,
,Adam Bostick,NYN,NL,SP,4,5,359,80,83,13,41,60,3,49,45,26,,
,Adam Bright,,,,2,3,228,49,58,8,25,34,3,35,32,24,,
,Adam Carr,,,,1,4,225,47,52,9,34,38,2,35,32,25,,
,Adam Cowart,,,,4,8,505,113,140,16,40,52,3,74,68,25,,
,Adam Daniels,,,,4,6,407,88,101,13,51,49,4,61,56,26,,
,Adam Harben,SEA,AL,SP,1,2,170,35,37,4,31,28,1,24,22,25,,
,Adam Howard,,,,4,8,468,101,119,20,49,56,7,74,68,25,,
,Adam Mills,,,,4,6,410,92,111,16,31,42,3,61,56,24,,
,Adam Ottavino,SLN,NL,SP,4,7,440,95,104,17,55,69,6,66,61,23,,
,Adam Simon,,,,1,2,124,27,30,5,15,17,1,19,18,25,,
,Adrian Alaniz,,,,3,6,373,81,91,16,45,54,4,58,54,25,,
,Adrian Martin,,,,2,3,179,40,45,6,16,25,2,25,23,24,,
,Alan Horne,,,,4,5,382,83,90,13,46,62,5,54,50,26,,
,Alan Johnson,,,,6,10,687,150,186,25,65,74,7,107,99,25,,
,Alberto Bastardo,,,,4,7,459,101,107,20,56,66,4,68,63,25,,
,Alessandro Maestri,,,,2,2,180,40,41,6,20,34,2,24,22,24,,
,Alex Burnett,,,,4,8,493,106,131,21,54,48,4,81,75,21,,
,Alexander Concepcion,,,,2,2,146,32,33,5,19,26,1,20,19,24,,
,Alexander Smit,,,,2,6,339,71,79,15,50,49,3,55,51,23,,
,Alexander Torres,,,,2,4,256,53,62,9,38,36,3,41,38,21,,
,Alexandre Periard,,,,4,7,462,101,118,17,50,51,6,70,65,22,,
,Alfredo Figaro,,,,2,4,253,54,64,11,31,26,2,41,38,24,,
,Alfredo Gonzalez,,,,2,2,152,34,40,6,14,20,1,23,21,29,,
,Alfredo Venegas,,,,3,6,360,80,88,14,38,42,4,52,48,23,,
,Amalio Diaz,,,,4,8,518,111,137,19,55,50,8,83,77,22,,
,Amaury Rivas,,,,2,4,220,46,55,10,29,27,2,37,34,23,,
,Anastacio Martinez,,,,3,3,249,56,56,6,29,40,3,31,29,30,,
,Anderson Garcia,,,,2,3,183,42,43,5,17,26,2,23,21,28,,
,Andrew Baldwin,SEA,AL,SP,8,9,631,147,155,22,43,71,6,80,74,26,,
,Andrew Carignan,,,,2,3,200,43,42,7,32,38,2,28,26,22,,
,Andrew Cruse,,,,2,3,204,45,47,7,24,30,2,28,26,25,,
,Andrew Graham,,,,1,3,183,39,48,9,20,25,2,31,29,25,,
,Andrew Johnston,,,,2,4,240,52,63,9,27,23,2,38,35,25,,
,Andrew Kown,,,,5,7,474,106,120,19,46,47,3,69,64,26,,
,Andrew Laughter,,,,1,2,163,35,41,7,19,21,1,26,24,24,,
,Andy Cavazos,,,,2,3,221,49,48,7,29,41,2,29,27,28,,
,Andy Mitchell,,,,3,4,270,60,67,6,27,33,4,36,33,30,,
,Andy Shibilo,,,,1,2,129,28,31,4,16,21,2,19,18,32,,
,Andy Shipman,,,,2,3,226,51,56,6,22,32,2,30,28,27,,
,Andy Van Hekken,,,,3,4,284,66,73,10,19,44,2,37,34,29,,
,Aneury Rodriguez,,,,4,8,525,113,134,23,57,78,6,84,78,21,,
,Angel Calero,,,,2,3,220,46,54,10,30,26,2,37,34,22,,
,Angel Castro,,,,3,3,219,49,51,7,26,26,2,30,28,26,,
,Anthony Barnette,,,,4,7,429,95,111,19,39,65,4,65,60,25,,
,Anthony Carter,,,,1,5,281,57,79,16,34,25,3,55,51,23,,
,Anthony Ortega,LAA,AL,SP,6,8,569,125,144,19,58,65,7,83,77,23,,
,Anthony Slama,,,,2,3,194,43,43,6,24,41,2,25,23,25,,
,Anthony Swarzak,MIN,AL,SP,5,8,534,118,134,20,52,71,6,78,72,23,,
,Anthony Tomey,,,,2,2,183,40,41,6,24,31,1,25,23,27,,
,Anthony Varvaro,,,,3,7,433,89,101,20,70,54,6,74,68,24,,
,Anthony Watson,,,,3,7,418,91,107,20,41,53,5,67,62,24,,
,Antonio Bastardo,PHI,NL,SP,4,5,340,74,74,16,47,65,3,50,46,23,,
,Armando Gabino,MIN,AL,RP,2,3,219,47,55,8,25,28,3,34,31,25,,
,Arnie Munoz,,,,1,2,98,21,23,3,13,15,1,14,13,27,,
,Arnold Leon,,,,1,2,124,26,31,5,16,15,1,20,19,20,,
,Arturo Lopez,,,,1,2,131,29,29,4,17,21,1,17,16,26,,
,Atahualpa Severino,,,,1,2,124,26,30,5,17,17,1,20,19,24,,
,Austin Bibens-Dirkx,,,,1,2,148,32,36,6,17,18,2,23,21,24,,
,B.J. LaMura,,,RP,2,3,195,43,43,6,24,38,2,25,23,28,,
,Barret Browning,,,,2,3,242,53,56,8,31,39,4,34,31,24,,
,Barry Enright,,,,4,7,442,98,114,22,42,62,3,69,64,23,,
,Bartolome Fortunato,,,,1,2,101,21,24,3,14,15,1,15,14,34,,
,Beau Jones,,,,2,3,190,41,42,6,29,30,1,27,25,22,,
,Beau Vaughan,,,,3,3,225,50,51,7,26,42,2,29,27,28,,
,Beltran Perez,,,,2,3,233,53,54,7,24,41,2,30,28,27,,
,Ben Hendrickson,,,,6,8,595,133,144,17,60,62,9,80,74,28,,
,Ben Howard,,,,3,3,222,50,54,7,21,34,2,29,27,30,,
,Ben Jukich,CIN,NL,SP,5,7,468,105,116,14,46,67,4,63,58,26,,
,Ben Julianel,MIN,AL,RP,3,3,225,51,52,7,24,40,2,29,27,29,,
,Ben Pfinsgraff,,,,1,2,124,28,30,5,12,21,1,17,16,25,,
,Ben Swaggerty,,,,1,2,141,29,35,5,20,21,1,23,21,26,,
