mlbamID,PA,playerid,Name
456714,679,7399,Billy Butler
456715,605,9077,Lorenzo Cain
457292,400,11531,Tsuyoshi Nishioka
457454,433,5557,Jarrod Saltalamacchia
457477,590,3371,Alejandro De Aza
457705,698,9847,Andrew McCutchen
457706,705,9848,Austin Jackson
457708,685,5222,Justin Upton
457727,650,5223,Cameron Maybin
457759,421,5235,Justin Turner
457763,565,9166,Buster Posey
457775,672,1965,Desmond Jennings
457787,653,9219,Danny Espinosa
457788,478,9883,Jordan Schafer
457789,660,2498,Jemile Weeks
457803,658,9892,Jay Bruce
457926,262,7412,Paul Janish
458015,689,4314,Joey Votto
458085,415,6878,Chris Coghlan
458210,450,5248,Alexi Casilla
458582,350,8380,Reid Brignac
458675,601,9893,Colby Rasmus
458731,636,9927,Brett Gardner
458913,390,7158,Eric Young
459431,250,9981,Michael Saunders
459964,594,3353,Matt Joyce
459991,647,3361,Gaby Sanchez
460003,100,,Taylor Teagarden
460022,410,4675,Tyler Greene
460026,407,3376,Nick Hundley
460051,350,3388,Chris Getz
460055,500,3390,John Mayberry
460060,617,3395,Cliff Pennington
460075,620,3410,Ryan Braun
460077,150,,Drew Butera
460086,684,5209,Alex Gordon
460099,480,3441,Nolan Reimold
460131,510,4719,Brian Bogusevic
460576,430,4881,Carlos Gomez
460579,590,4885,Nyjer Morgan
461314,685,5631,Matt Kemp
461416,541,211,Will Venable
461815,510,6035,David Murphy
461882,408,3118,Jesus Guzman
462101,687,8709,Elvis Andrus
462564,660,3442,Dan Uggla
464433,360,6978,Juan Francisco
465041,220,5275,Francisco Cervelli
465668,435,6421,Roger Bernadina
466320,638,4022,Melky Cabrera
466988,630,4054,Emilio Bonifacio
467055,638,5409,Pablo Sandoval
467092,522,1433,Wilson Ramos
467793,632,2396,Carlos Santana
467798,625,2411,Jose Tabata
467827,500,8553,Gerardo Parra
471083,556,3364,Miguel Montero
471865,617,7287,Carlos Gonzalez
474233,267,2505,Hank Conger
474319,,,Brandon Snyder
474832,525,10264,Brandon Belt
474892,328,9911,Chris Carter
475174,570,2530,Yonder Alonso
475253,598,9054,Justin Smoak
475582,622,4220,Ryan Zimmerman
476633,,,Chris Parmelee
476704,520,4418,Jed Lowrie
476883,535,2495,Pedro Alvarez
477054,265,9875,Trayvon Robinson
477165,490,8434,Brett Wallace
477195,592,8433,Ike Davis
488671,555,7476,Alex Avila
488721,610,2578,Peter Bourjos
488726,575,4106,Michael Brantley
488862,644,4191,Yunel Escobar
489149,596,9205,Logan Morrison
489365,491,9689,Josh Thole
489413,450,9700,Casper Wells
493120,444,3263,Kosuke Fukudome
493351,670,5133,Alexei Ramirez
493364,538,3917,Dayan Viciedo
493596,580,9015,Gordon Beckham
499926,180,5411,Alex Liddi
501647,250,,Wilin Rosario
501800,504,3433,Allen Craig
501896,550,9549,David Freese
501913,,,Chad Tracy
501983,415,2830,Travis Snider
502003,467,2881,Scott Sizemore
502082,536,7571,Lonnie Chisenhall
502100,560,5305,Alex Presley
502110,611,6184,J.D. Martinez
502126,350,3154,Domonic Brown
502143,602,6364,Danny Valencia
502210,525,3892,Josh Reddick
502226,350,9571,Craig Gentry
502317,515,3978,Chris Heisey
502517,577,4316,Daniel Murphy
502671,590,9218,Paul Goldschmidt
514888,651,5417,Jose Altuve
514913,600,5519,Ruben Tejada
516770,703,4579,Starlin Castro
517370,432,5481,Jimmy Paredes
518692,647,5361,Freddie Freeman
518792,614,4940,Jason Heyward
518960,534,7870,Jonathan Lucroy
519023,417,5666,Devin Mesoraco
519048,510,3086,Mitch Moreland
519058,600,4892,Mike Moustakas
519184,550,4712,Ben Revere
519203,395,3473,Anthony Rizzo
519317,665,4949,Mike Stanton
519346,475,3711,Eric Thames
521692,500,7304,Salvador Perez
524968,575,5514,Jesus Montero
542999,390,4964,Tony Campana
543063,445,5343,Brandon Crawford
543213,534,6740,Johnny Giavotella
543333,662,3516,Eric Hosmer
543401,615,9776,Jason Kipnis
543432,275,8879,Ryan Lavarnway
543434,621,5247,Brett Lawrie
543569,535,6402,Brent Morel
543629,450,,Tyler Pastornicky
543742,445,4016,Jerry Sands
543829,649,8203,Dee Gordon
545361,422,10155,Mike Trout
547180,265,,Bryce Harper
547982,290,11846,Leonys Martin
554429,666,10099,Dustin Ackley
572122,447,9785,Kyle Seager
120903,272,210,Manny Ramirez
