mlbamID,newPA,newPA,PA,bisID,playerName,FG
150148,488,448,410,45,Rod Barajas,Y
400098,488,448,469,1573,Travis Hafner,Y
455104,487,447,455,8267,Chris Iannetta,Y
489365,487,447,450,9689,Josh Thole,Y
340192,486,446,484,1555,Marco Scutaro,Y
474865,485,445,523,3209,Julio Borbon,Y
450204,482,442,413,4677,Ben Francisco,Y
121409,482,442,530,970,Scott Rolen,Y
518960,482,442,460,7870,Jonathan Lucroy,Y
430948,479,439,488,3336,Alberto Callaspo,Y
137140,479,439,435,370,Russell Branyan,Y
430965,476,437,425,4606,Chris Snyder,Y
430404,475,436,485,1845,Jonny Gomes,Y
488671,475,436,415,7476,Alex Avila,Y
429713,474,435,583,2197,Grady Sizemore,Y
493120,470,431,541,3263,Kosuke Fukudome,Y
444379,468,429,515,5887,John Jaso,Y
457454,465,427,411,5557,Jarrod Saltalamacchia,Y
430895,460,422,400,2437,Maicer Izturis,Y
450317,460,422,435,697,J.P. Arencibia,Y
435063,456,418,529,3057,Mike Napoli,Y
150449,453,416,350,,Rick Ankiel,
431145,452,415,450,4616,Russell Martin,Y
425772,449,412,350,,Jeff Mathis,
400018,449,412,450,1638,Miguel Olivo,Y
150275,448,411,350,,Yorvit Torrealba,
502125,448,411,538,5310,Tyler Colvin,Y
425557,445,408,350,,Jeff Baker,
452672,439,403,375,4952,Ryan Hanigan,Y
206551,436,400,350,,Melvin Mora,
425549,435,399,350,,Clint Barmes,
467092,434,398,350,,Wilson Ramos,
429841,434,398,430,1771,Matt Diaz,Y
407487,434,398,495,843,Juan Rivera,Y
150396,434,398,355,369,Milton Bradley,Y
150100,432,396,497,949,Pat Burrell,Y
476704,431,395,455,4418,Jed Lowrie,Y
425206,429,394,350,,Jamey Carroll,
468406,427,392,350,,Jonathan Herrera,
430946,427,392,535,3114,Jose Lopez,Y
489242,422,387,350,,Will Rhymes,
421064,420,385,500,1491,Ty Wigginton,Y
434778,416,382,618,8610,Kendry Morales,Y
448676,411,377,350,,Ryan Spilborghs,
136860,411,377,553,589,Carlos Beltran,Y
408305,407,373,443,2521,Jorge Cantu,Y
467827,404,371,350,,Gerardo Parra,
123272,401,368,444,409,Jim Thome,Y
400290,401,368,350,,Austin Kearns,
465668,397,364,350,,Roger Bernadina,
150421,391,359,388,918,Ramon Hernandez,Y
433898,387,355,350,,Jeff Keppinger,
431159,386,354,350,,Kelly Shoppach,
407832,385,353,350,,Wilson Valdez,
136660,382,350,350,,Mark DeRosa,
466988,379,348,350,,Emilio Bonifacio,
121358,378,347,383,1275,Ivan Rodriguez,Y
430906,376,345,350,,Donnie Murphy,
448242,374,343,350,,"Tony Gwynn, Jr.",
445055,373,342,404,5227,Jon Jay,Y
116974,372,341,329,993,Jason Kendall,Y
453269,371,340,475,914,Brennan Boesch,Y
400284,367,337,610,1679,Chase Utley,Y
400140,367,337,467,1861,Wilson Betemit,Y
459431,366,336,499,9981,Michael Saunders,Y
112736,364,334,350,,Craig Counsell,
279827,363,333,350,,Humberto Quintero,
150020,362,332,350,,Jerry Hairston Jr.,
407801,362,332,350,,Marcus Thames,
460051,362,332,350,,Chris Getz,
429712,360,330,390,3751,Felix Pie,Y
425491,359,329,399,2113,Ryan Doumit,Y
502517,359,329,350,,Daniel Murphy,
333292,359,329,310,1017,Jack Wilson,Y
506673,358,328,350,,Juan Miranda,
111904,353,324,378,1070,Mike Cameron,Y
554429,352,323,,,Dustin Ackley,T
455088,349,320,495,7485,Blake DeWitt,Y
121074,346,317,410,1178,Edgar Renteria,Y
453228,346,317,425,9331,Jason Donald,Y
502317,344,316,350,,Chris Heisey,
430910,344,316,350,,Brayan Pena,
116662,343,315,370,96,Andruw Jones,Y
501800,342,314,350,,Allen Craig,
502126,341,313,490,3154,Domonic Brown,Y
474832,341,313,350,,Brandon Belt,
136500,340,312,350,,Wes Helms,
453525,337,309,,,J.R. Towles,T
459941,336,308,,,Travis Buck,T
346859,336,308,350,,Jason Michaels,
446381,335,307,350,,Darwin Barney,
444432,330,303,,,Mark Trumbo,T
440251,327,300,350,,Ryan Roberts,
433597,324,297,375,4511,Mark Teahen,Y
