mlbamID,playerName,team,league,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,defaultPos,
276545,Michael Young,PHI,AL,1,2,0,0,0,0,0,0,2,1,0,0,0,41,16,25,4,0,0,0,0,3B,
136860,Carlos Beltran,STL,AL,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,132,133,OF,
136460,Alex Gonzalez,MIL,AL,1,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,24,0,0,0,0,SS,
115732,Todd Helton,COL,AL,1,3,0,0,0,0,0,0,1,1,0,0,0,67,0,0,0,0,0,0,0,1B,
117244,Paul Konerko,CWS,AL,1,4,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,1B,
134181,Adrian Beltre,TEX,AL,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,3B,
405395,Albert Pujols,LAA,AL,1,4,0,0,0,0,0,0,1,1,0,0,0,120,0,3,0,0,0,0,0,1B,
150212,Michael Cuddyer,COL,AL,1,5,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,74,74,OF,
285068,Cody Ransom,SD,AL,1,2,0,0,0,0,0,0,0,2,0,0,0,1,6,35,48,0,0,0,0,3B,
400121,Victor Martinez,DET,AL,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,C,
408252,Brandon Phillips,CIN,AL,1,5,0,0,0,0,0,0,0,1,0,0,0,0,146,0,0,0,0,0,0,2B,
276055,Adam Dunn,CWS,AL,1,4,0,0,0,0,0,0,0,2,0,0,0,52,0,0,0,5,0,0,5,1B,
285078,Josh Hamilton,LAA,AL,1,4,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,84,95,2,138,OF,
285131,Cesar Izturis,CIN,AL,1,2,0,0,0,0,0,0,0,1,0,0,0,1,2,4,46,0,0,0,0,SS,
407489,Lyle Overbay,NYY,AL,1,2,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,1B,
400134,Eric Hinske,ARI,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,6,0,4,10,OF,
435063,Mike Napoli,BOS,AL,1,5,0,0,0,0,0,0,0,2,0,0,72,28,0,0,0,0,0,0,0,C,
435062,Howie Kendrick,LAA,AL,1,3,1,0,0,0,0,0,2,1,0,0,0,2,143,0,0,2,0,0,2,2B,
472528,Luis Valbuena,CHC,AL,1,4,0,0,0,0,0,0,0,2,0,0,0,0,5,82,0,0,0,0,0,2B,
458501,Luis Cruz,LAD,AL,1,3,0,0,0,0,0,0,1,0,0,0,0,0,2,51,24,0,0,0,0,SS,
454560,A.J. Ellis,LAD,AL,1,4,0,0,0,0,0,1,0,0,0,0,131,0,0,0,0,0,0,0,0,C,
459991,Gaby Sanchez,PIT,AL,1,3,0,0,0,0,0,0,1,1,0,0,0,95,0,0,0,0,0,0,0,1B,
461416,Will Venable,SD,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,114,135,OF,
460060,Cliff Pennington,ARI,AL,1,4,0,0,0,0,0,0,0,3,0,0,0,0,32,0,93,0,0,0,0,SS,
435219,Jack Hannahan,CIN,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,96,7,0,0,0,0,3B,
501983,Travis Snider,PIT,AL,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,33,46,OF,
460051,Chris Getz,KC,AL,1,3,0,0,0,0,0,0,0,1,0,0,0,0,61,0,0,0,0,0,0,2B,
458913,Eric Young,COL,AL,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,15,11,34,OF,
462101,Elvis Andrus,TEX,AL,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,153,0,0,0,0,SS,
461882,Jesus Guzman,SD,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,52,0,7,58,1B,
459431,Michael Saunders,SEA,AL,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,22,113,5,136,OF,
502210,Josh Reddick,OAK,AL,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,136,144,OF,
488671,Alex Avila,DET,AL,1,4,0,0,0,0,0,0,0,2,0,0,113,0,0,0,0,0,0,0,0,C,
457133,Wilkin Ramirez,MIN,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OF,
458085,Chris Coghlan,MIA,AL,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,21,13,2,32,OF,
465784,Everth Cabrera,SD,AL,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,111,0,0,0,0,SS,
455369,Ramiro Pena,ATL,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,SS,
449082,Xavier Paul,CIN,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,18,OF,
476704,Jed Lowrie,OAK,AL,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,93,0,0,0,0,SS,
460026,Nick Hundley,SD,AL,1,4,0,0,0,0,0,0,0,2,0,0,56,0,0,0,0,0,0,0,0,C,
458015,Joey Votto,CIN,AL,1,4,0,0,0,0,0,0,2,1,0,0,0,109,0,0,0,0,0,0,0,1B,
450204,Ben Francisco,NYY,AL,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,0,29,53,OF,
452254,Hunter Pence,SF,AL,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,159,OF,
460086,Alex Gordon,KC,AL,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,160,0,0,160,OF,
435078,Joaquin Arias,SF,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,74,50,0,0,0,0,2B,
461314,Matt Kemp,LAD,AL,1,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,105,0,105,OF,
430948,Alberto Callaspo,LAA,AL,1,4,0,0,0,0,0,0,1,2,0,0,0,0,0,131,0,0,0,0,0,3B,
117276,Mark Kotsay,SD,AL,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,19,0,9,27,OF,
