mlbamID,adjIP,IP,S,Name
492821,17,,,"Villar, Henry "
592547,16,,,"McGuire, Deck "
554432,16,,,"Jenkins, Chad "
592390,16,,,"Hembree, Heath "
489448,16,,,"Zagurski, Mike "
542369,16,,,"Cabrera, Edwar "
489150,15,,,"Mortensen, Clayton "
500724,15,,,"Ramirez, J.C. "
502139,15,,,"Stinson, Josh "
544727,15,,,"Familia, Jeurys "
521055,15,,,"Cleto, Maikel "
463037,15,,,"Severino, Atahualpa "
501822,15,,,"Hatcher, Chris "
457751,14,,,"Crawford, Evan "
458550,14,,,"Hefner, Jeremy "
446003,14,,,"Asencio, Jairo "
518858,14,,,"Jones, Nathan "
446372,14,,,"Kluber, Corey "
543634,14,,,"Perry, Ryan "
501627,14,,,"Cabral, Cesar "
502004,14,,,"Kontos, George "
446264,14,,,"Enright, Barry "
457796,14,,,"Olson, Garrett "
534428,14,,,"Caridad, Esmailin "
501529,14,,,"De Leon, Jorge "
517008,14,,,"Colome, Alexander "
519437,14,,,"Withrow, Chris "
134003,14,,,"Elarton, Scott "
543184,14,,,"Friedrich, Christian "
518582,13,,,"Crosby, Casey "
518617,13,,,"Diekman, Jake "
516769,13,,,"Mejia, Jenrry "
476454,13,,,"Betances, Dellin "
519096,13,,,"Otero, Danny "
519015,13,,,"McPherson, Kyle "
523648,13,,,"Hamburger, Mark "
518774,13,,,"Harvey, Matt "
502042,13,,,"Archer, Chris "
408310,13,,,"Heilman, Aaron "
449161,13,,,"Rogers, Mark "
451482,13,,,"Galarraga, Armando "
519267,13,,,"Scribner, Evan "
453580,12,,,"Edlefsen, Steve "
500872,12,,,"Infante, Gregory "
445213,12,,,"Kintzler, Brandon "
543551,12,,,"Mitchell, D.J. "
493603,12,,,"Ottavino, Adam "
434565,12,,,"Tejeda, Robinson "
458677,12,,,"Wilson, Justin "
500610,12,,,"Guerra, Deolis "
516853,12,,,"Rodriguez, Wilking "
465065,12,,,"Escalona, Sergio "
543380,12,,,"Jungmann, Taylor "
543883,12,,,"Vincent, Nick "
451990,12,,,"Valdez, Jose "
543408,12,,,"Koehler, Tom "
445170,11,,,"Redmond, Todd "
501563,11,,,"Castro, Simon "
502168,11,,,"Owens, Rudy "
543136,11,,,"Eppley, Cody "
453273,11,,,"Crotta, Michael "
543271,11,,,"Hamren, Erik "
476570,11,,,"Mazzaro, Vin "
457711,11,,,"O'Sullivan, Sean "
469167,11,,,"Ceda, Jose "
452764,10,,,"Carpenter, Chris "
543331,10,,,"Hoover, J.J. "
543935,10,,,"Wilson, Alex "
544365,10,,,"Banuelos, Manny "
527048,10,,,"Perez, Martin "
489294,10,,,"Scheppers, Tanner "
571939,10,,,"McNutt, Trey "
544150,10,,,"Suarez, Albert "
476134,10,,,"Omogrosso, Brian "
519296,10,,,"Snow, Forrest "
449881,10,,,"Swindle, R.J. "
469690,10,,,"Marte, Victor "
501955,10,,,"Chamberlain, Joba "
444447,9,,,"Beck, Chad "
543144,9,,,"Farquhar, Danny "
518169,9,,,"Rodriguez, Armando "
543466,9,,,"Lorin, Brett "
476205,9,,,"Wall, Josh "
463017,9,,,"Martis, Shairon "
455376,9,,,"Leon, Arcenio "
592836,9,,,"Walker, Taijuan "
500902,9,,,"Oliveros, Lester "
430640,9,,,"Pena Jr., Tony "
448281,9,,,"Doolittle, Sean "
542866,9,,,"Adams, Austin "
514639,8,,,"Ortega, Jose "
518972,8,,,"Magnuson, Trystan "
502061,8,,,"Fish, Robert "
488776,8,,,"Chapman, Jaye "
501999,8,,,"Correa, Hector "
446341,8,,,"Richmond, Scott "
500909,8,,,"Robles, Mauricio "
434482,8,,,"Carlson, Jesse "
452293,8,,,"Albaladejo, Jonathan "
457768,8,,,"Morris, Bryan "
465015,8,,,"Septimo, Leyson "
457456,8,,,"Reyes, Jo-Jo "
543359,8,,,"Jennings, Dan "
447744,8,,,"Valdes, Raul "
457567,8,,,"Fisher, Carlos "
448842,7,,,"De La Cruz, Frankie "
501593,7,,,"Avilan, Luis "
459932,7,,,"Ambriz, Hector "
408052,7,,,"Bootcheck, Chris "
519166,7,,,"Ramirez, Neil "
444992,7,,,"Welker, Duke "
572831,7,,,"Edgin, Josh "
517062,7,,,"Oramas, Juan "
519175,7,,,"Reed, Evan "
527055,7,,,"Vizcaino, Arodys "
518809,6,,,"Hoffman, Matt "
449170,6,,,"Cordier, Erik "
518782,6,,,"Hellweg, John "
516414,6,,,"Pena, Ariel "
519255,6,,,"Scarpetta, Cody "
500779,6,,,"Quintana, Jose "
466948,6,,,"Machi, Jean "
545357,6,,,"Purke, Matt "
476206,6,,,"Thomas, Justin "
458155,6,,,"Martinez, Joe "
460580,6,,,"James, Chuck "
543734,6,,,"Rusin, Chris "
543037,6,,,"Cole, Gerrit "
445971,6,,,"Wood, Tim "
502103,6,,,"Antonini, Michael "
518489,6,,,"Brasier, Ryan "
518526,6,,,"Carpenter, David "
502356,6,,,"Robertson, Tyler "
456713,6,,,"Bush, Matt "
517059,6,,,"De Paula, Jose "
501227,6,,,"Cabrera, Alberto "
502033,6,,,"Brewer, Charles "
460029,6,,,"Lewis, Jensen "
499856,6,,,"Jakubauskas, Chris "
489002,6,,,"Johnson, Steve "
425883,6,,,"Willis, Dontrelle "
516935,5,,,"Pimentel, Stolmy "
543821,5,,,"Stohr, Tyler "
456061,5,,,"De La Cruz, Kelvin "
518533,5,,,"Carson, Robert "
435619,5,,,"Misch, Pat "
501697,5,,,"Marinez, Jhan "
453264,5,,,"Veal, Donnie "
457580,5,,,"Carter, Anthony "
460597,5,,,"Hoey, Jim "
445177,5,,,"Heath, Deunte "
519179,5,,,"Reifer, Adam "
501551,5,,,"De Los Santos, Miguel "
534648,5,,,"Rhee, Dae-Eun "
543155,5,,,"Fife, Stephen "
453284,5,,,"Parker, Blake "
460657,5,,,"Slaten, Doug "
592804,5,,,"Thornburg, Tyler "
453332,5,,,"Butler, Josh "
605152,5,,,"Bradley, Jed "
543527,5,,,"Meadows, Daniel "
605359,5,,,"Marshall, Evan "
400076,5,,,"Loux, Shane "
452326,5,,,"Poveda, Omar "
466459,5,,,"Rosario, Sandy "
458584,5,,,"Cedeno, Xavier "
458076,5,,,"Snyder, Ben "
430597,5,,,"Dumatrait, Phil "
408069,5,,,"Threets, Erick "
459411,5,,,"Schlichting, Travis "
518493,4,,,"Britton, Drake "
518952,4,,,"Lotzkar, Kyle "
516421,4,,,"Martinez, Fabio "
503447,4,,,"Manzanillo, Santo "
517060,4,,,"Hernandez, Pedro "
500721,4,,,"Medina, Yoervis "
462995,4,,,"VandenHurk, Henricus "
425507,4,,,"Cabrera, Fernando "
503441,4,,,"Van Mil, Loek "
533167,4,,,"Shoemaker, Matt "
456150,4,,,"Carrillo, Marco "
543118,4,,,"Drake, Oliver "
572096,4,,,"Rosenthal, Trevor "
514108,4,,,"DeMark, Mike "
471896,4,,,"Figueroa, Pedro "
425629,4,,,"Villarreal, Oscar "
518669,4,,,"Farina, Alan "
502388,4,,,"Tanner, Clayton "
118158,4,,,"Mahay, Ron "
448656,4,,,"Reineke, Chad "
543881,3,,,"Villarreal, Pedro "
489056,3,,,"Leesman, Charles "
150153,3,,,"Figueroa, Nelson "
518674,3,,,"Fick, Chuckie "
543838,3,,,"Swagerty, Jordan "
518693,3,,,"Freeman, Samuel "
455122,3,,,"Meyers, Brad "
445153,3,,,"Downs, Darin "
502010,3,,,"Brigham, Jacob "
502522,3,,,"Miller, Justin "
448722,3,,,"Perez, Juan "
576409,3,,,"Munson, Kevin "
543219,3,,,"Gilmartin, Sean "
471920,3,,,"Rodriguez, Wilmin "
489400,3,,,"Verdugo, Ryan "
462515,3,,,"Socolovich, Miguel "
425466,3,,,"Eyre, Willie "
491708,3,,,"Caminero, Arquimedes "
430083,3,,,"Sanches, Brian "
461848,3,,,"Miller, Jim "
429440,3,,,"Gonzalez, Edgar "
429723,3,,,"Valdez, Merkin "
615868,2,,,"Concepcion, Gerardo "
502165,2,,,"Carpenter, Andrew "
466458,2,,,"Ortega, Yonata "
519411,2,,,"West, Matthew "
542669,2,,,"Mendez, Roman "
580016,2,,,"Arguelles, Noel "
534581,2,,,"Tillman, Daniel "
548348,2,,,"Joseph, Donnie "
501826,2,,,"Zavada, Clay "
451595,2,,,"Gallagher, Sean "
444941,2,,,"Hyatt, Austin "
543023,2,,,"Christiani, Nick "
444427,2,,,"Texeira, Kanekoa "
430667,1,,,"Gil, Jerry "
517593,1,,,"Salazar, Danny "
521655,1,,,"Font, Wilmer "
445193,1,,,"Coello, Robert "
445926,1,,,"Chavez, Jesse "
518713,1,,,"Gast, John "
461361,1,,,"Yourkin, Matt "
519229,1,,,"Rosin, Seth "
447831,1,,,"Quinowski, David "
502593,1,,,"Petricka, Jake "
523260,1,,,"Kelly, Joe "
